GAMECODE,GAME_DATE_EST,GAME_ID,GAME_SEQUENCE,GAME_STATUS_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,LIVE_PC_TIME,LIVE_PERIOD,LIVE_PERIOD_TIME_BCAST,NATL_TV_BROADCASTER_ABBREVIATION,SEASON,VISITOR_TEAM_ID,WH_STATUS,ATTENDANCE,GAME_DATE,GAME_TIME
20191109/HOUCHI,2019-11-09T00:00:00,21900129,3,3,Final,1610612741,     ,4,Q4       - ,,2019,1610612745,1,20482,"SATURDAY, NOVEMBER 9, 2019",2:10
20191109/DALMEM,2019-11-09T00:00:00,21900130,4,3,Final,1610612763,     ,4,Q4       - ,,2019,1610612742,1,15753,"SATURDAY, NOVEMBER 9, 2019",2:05
20191109/GSWOKC,2019-11-09T00:00:00,21900131,5,3,Final,1610612760,     ,4,Q4       - ,,2019,1610612744,1,18203,"SATURDAY, NOVEMBER 9, 2019",2:09
20191110/DENMIN,2019-11-10T00:00:00,21900132,1,3,Final,1610612750,     ,5,Q5       - ,,2019,1610612743,1,13553,"SUNDAY, NOVEMBER 10, 2019",2:36
20191110/INDORL,2019-11-10T00:00:00,21900133,2,3,Final,1610612753,     ,4,Q4       - ,,2019,1610612754,1,17118,"SUNDAY, NOVEMBER 10, 2019",1:55
20191110/CHAPHI,2019-11-10T00:00:00,21900134,3,3,Final,1610612755,     ,4,Q4       - ,,2019,1610612766,1,20311,"SUNDAY, NOVEMBER 10, 2019",2:04
20191110/MILOKC,2019-11-10T00:00:00,21900135,4,3,Final,1610612760,     ,4,Q4       - ,,2019,1610612749,1,18203,"SUNDAY, NOVEMBER 10, 2019",2:16
20191110/CLENYK,2019-11-10T00:00:00,21900136,5,3,Final,1610612752,     ,4,Q4       - ,,2019,1610612739,1,19812,"SUNDAY, NOVEMBER 10, 2019",2:13
20191110/BKNPHX,2019-11-10T00:00:00,21900137,6,3,Final,1610612756,     ,4,Q4       - ,,2019,1610612751,1,17290,"SUNDAY, NOVEMBER 10, 2019",2:05
20191110/ATLPOR,2019-11-10T00:00:00,21900138,7,3,Final,1610612757,     ,5,Q5       - ,,2019,1610612737,1,20041,"SUNDAY, NOVEMBER 10, 2019",2:36
